,vehicle_id,vehicle_type,depart_time,depart_timestamp,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord
128,70,delivery_p1,2017-05-01 01:00:21.606145024,1493600421.6061451,1070.0,38.0,17592368108745,17592368282568.0,110.3565181,19.9942564,110.3204729,20.0245874
129,117,pickup_p1,2017-05-01 00:19:05.000000000,1493597945.0,38.0,38.0,17592367847143,,110.3204729,20.0245874,110.3204729,20.0245874
130,114,delivery_p2,2017-05-01 00:38:33.365836032,1493599113.365836,1772.0,1085.0,17592367704821,17592367982670.0,110.3011871,20.0244527,110.3443467,19.9804333
131,54,"failed_ridepooling,delivery_p1",2017-05-01 00:13:30.000000000,1493597610.0,2111.0,1085.0,17592367479989,,110.331644,19.9919764,110.3443467,19.9804333
132,44,delivery_p1,2017-05-01 00:25:53.085206528,1493598353.0852065,2111.0,1085.0,17592367772559,17592367620202.0,110.331644,19.9919764,110.3443467,19.9804333
133,44,pickup_p1,2017-05-01 00:31:55.000000000,1493598715.0,2111.0,1085.0,17592367829815,,110.331644,19.9919764,110.3443467,19.9804333
134,49,delivery_p2,2017-05-01 00:09:50.000000000,1493597390.0,479.0,1085.0,17592367605284,17592367605284.0,110.3449993,20.0311155,110.3443467,19.9804333
135,49,delivery_p1,2017-05-01 00:24:07.898467840,1493598247.8984678,1085.0,1085.0,17592367605284,17592367605284.0,110.3443467,19.9804333,110.3443467,19.9804333
136,45,delivery_p1,2017-05-01 00:20:17.394252800,1493598017.3942528,1085.0,1085.0,17592367475081,17592367605959.0,110.3443467,19.9804333,110.3443467,19.9804333
137,104,delivery_p1,2017-05-01 00:37:33.020688128,1493599053.020688,1085.0,1085.0,17592367610177,17592367610177.0,110.3443467,19.9804333,110.3443467,19.9804333
138,129,delivery_p1,2017-05-01 00:39:17.890824192,1493599157.890824,1085.0,1085.0,17592367883890,17592367776817.0,110.3443467,19.9804333,110.3443467,19.9804333
139,53,delivery_p1,2017-05-01 00:49:21.927642112,1493599761.927642,1085.0,1085.0,17592367928244,17592367928244.0,110.3443467,19.9804333,110.3443467,19.9804333
140,123,pickup_p1,2017-05-01 00:37:25.000000000,1493599045.0,1085.0,1085.0,17592367984808,,110.3443467,19.9804333,110.3443467,19.9804333
141,78,delivery_p1,2017-05-01 01:03:45.847396352,1493600625.8473964,1085.0,1085.0,17592367830619,17592367923633.0,110.3443467,19.9804333,110.3443467,19.9804333
